timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:27:44,75.48,0.00,3.33,5.65,0.00,15.54,268.40,0.00,5331.20,19.86,0.13,0.48,0.45,12.00,268.80,0.00,268.80,0.00,5342.40,2,694,1.97,1.91,1.57,0,11796956,4635164,28.21,87768,2190356,4678876,28.47,2912440,1549436,3012,lo,4.40,4.40,0.76,0.76,0.00,0.00,0.00,0.00,0.00,2671.20,18549.20,0.00,10595.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.20,4622.40
20:27:49,69.53,0.00,2.83,0.71,0.00,26.94,64.80,0.00,1195.20,18.44,0.03,0.48,0.38,2.48,64.40,0.00,64.40,0.00,1184.00,2,722,1.97,1.91,1.58,0,11556908,4875212,29.67,87988,2225376,5230384,31.83,3118436,1581924,36432,lo,322.60,322.60,7104.25,7104.25,0.00,0.00,0.00,0.00,0.00,592.00,11345.20,0.00,1511.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,3930.40
20:27:54,62.54,0.00,2.90,0.00,0.00,34.57,3.60,0.00,304.00,84.44,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,304.00,2,806,1.81,1.88,1.57,0,11211224,5220896,31.77,87988,2225944,5768236,35.10,3460796,1582328,36856,lo,48.60,48.60,53.62,53.62,0.00,0.00,0.00,0.00,0.00,152.00,18497.40,0.00,1296.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.60,2654.40
20:27:59,60.73,0.00,2.62,0.00,0.00,36.66,6.00,0.00,153.60,25.60,0.00,0.53,0.53,0.32,6.00,0.00,6.00,0.00,153.60,2,801,1.83,1.88,1.57,0,11265584,5166536,31.44,88000,2225960,5776336,35.15,3407672,1581108,36920,lo,96.00,96.00,56.10,56.10,0.00,0.00,0.00,0.00,0.00,76.80,13527.40,0.00,15950.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.40,3171.00
20:28:04,64.56,0.00,2.81,0.00,0.00,32.63,6.80,0.00,228.80,33.65,0.00,0.35,0.35,0.24,6.80,0.00,6.80,0.00,228.80,0,789,1.84,1.88,1.57,0,11314748,5117372,31.14,88012,2226052,5535324,33.69,3357580,1581120,36740,lo,88.20,88.20,50.18,50.18,0.00,0.00,0.00,0.00,0.00,114.40,13061.80,0.00,15639.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.40,2885.00
20:28:09,58.92,0.00,2.20,0.10,0.00,38.78,3.40,0.00,132.80,39.06,0.00,0.24,0.24,0.08,3.40,0.00,3.40,0.00,132.80,1,811,1.69,1.85,1.56,0,11195588,5236532,31.87,88016,2226464,5737576,34.92,3477084,1581456,37136,lo,63.40,63.40,34.12,34.12,0.00,0.00,0.00,0.00,0.00,66.40,14962.60,0.00,8654.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.20,2856.80
20:28:14,54.16,0.00,2.31,0.00,0.00,43.53,7.40,0.00,332.80,44.97,0.00,0.32,0.32,0.24,7.40,0.00,7.40,0.00,332.80,4,805,1.80,1.87,1.57,0,11279404,5152716,31.36,88024,2226432,5754120,35.02,3393476,1581316,36624,lo,88.40,88.40,50.80,50.80,0.00,0.00,0.00,0.00,0.00,166.40,12767.80,0.00,16729.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.40,2908.00
20:28:19,69.53,0.00,2.62,0.20,0.00,27.65,25.00,0.00,14235.20,569.41,0.09,3.74,0.42,1.04,25.00,0.00,25.00,0.00,14235.20,0,796,1.73,1.86,1.57,0,11148204,5283916,32.16,88036,2226832,5770356,35.12,3523408,1581632,2008,lo,123.00,123.00,168.54,168.54,0.00,0.00,0.00,0.00,0.00,7117.60,14693.80,0.00,8202.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.40,3153.80
20:28:24,7.73,0.00,0.70,0.00,0.00,91.57,27.80,0.00,472.00,16.98,0.00,0.12,0.12,0.32,27.80,0.00,27.80,0.00,472.00,0,733,1.60,1.83,1.56,0,11303148,5128972,31.21,88044,2226652,5554028,33.80,3370216,1581500,18580,lo,223.00,223.00,3492.01,3492.01,0.00,0.00,0.00,0.00,0.00,236.00,217.80,0.00,9707.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.40,1928.00
20:28:29,46.83,0.00,3.52,0.00,0.00,49.65,4.20,0.00,158.40,37.71,0.00,0.19,0.19,0.08,4.20,0.00,4.20,0.00,158.40,3,740,1.71,1.85,1.57,0,11398196,5033924,30.63,88056,2226560,5462044,33.24,3275448,1582836,36280,lo,169.60,169.60,3564.52,3564.52,0.00,0.00,0.00,0.00,0.00,79.20,15962.20,0.00,21485.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.40,2812.20
20:28:34,51.51,0.00,2.42,0.10,0.00,45.97,14.00,0.00,177.60,12.69,0.00,0.11,0.11,0.16,14.00,0.00,14.00,0.00,177.60,0,781,1.81,1.87,1.58,0,11323536,5108584,31.09,88064,2227344,5520260,33.59,3347296,1582244,37056,lo,146.20,146.20,291.53,291.53,0.00,0.00,0.00,0.00,0.00,88.80,11646.40,0.00,8072.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.60,2901.20
20:28:39,2.81,0.00,0.50,0.10,0.00,96.59,5.80,0.00,121.60,20.97,0.00,0.14,0.14,0.08,5.80,0.00,5.80,0.00,121.60,0,704,1.67,1.83,1.57,0,11695036,4737084,28.83,88076,2209384,4979444,30.30,2996264,1565312,19340,lo,28.60,28.60,5.84,5.84,0.00,0.00,0.00,0.00,0.00,60.80,683.00,0.00,18995.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.20,1254.40
20:28:44,39.98,0.00,3.32,0.00,0.00,56.70,5.00,0.00,148.80,29.76,0.00,0.64,0.64,0.32,5.00,0.00,5.00,0.00,148.80,1,687,1.53,1.80,1.56,0,12039588,4392532,26.73,88088,2188316,4598036,27.98,2671152,1548628,1960,lo,24.60,24.60,17.76,17.76,0.00,0.00,0.00,0.00,0.00,74.40,19250.00,0.00,35069.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.60,2872.40
