timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
03:04:41,33.87,0.00,1.80,0.10,0.00,64.23,2.00,0.00,11.20,5.60,0.00,0.00,0.40,0.08,4.60,0.00,4.60,0.00,2644.80,4,627,1.22,1.13,0.53,0,1485544,2560272,63.28,37672,726740,3306064,81.72,1945340,501788,9128,lo,19.00,19.00,11.89,11.89,0.00,0.00,0.00,0.00,0.00,246.40,12699.60,0.00,7059.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.60,2576.80
03:04:46,54.75,0.00,10.21,0.10,0.00,34.93,5.00,0.00,2678.40,535.68,0.02,3.68,0.96,0.48,240.52,0.20,240.32,1.60,44782.44,2,645,1.28,1.14,0.54,1,1052840,2992976,73.98,51912,916364,3433416,84.86,2144792,686108,88432,lo,8.40,8.40,1.81,1.81,0.00,0.00,0.00,0.00,0.80,25331.74,22501.80,0.00,15191.82,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.60,2659.80
03:04:51,59.62,0.00,5.16,1.11,0.00,34.11,240.40,1.60,44830.40,186.49,1.56,6.49,0.10,2.48,243.80,0.20,243.60,1.60,38008.00,9,646,1.26,1.14,0.54,1,725200,3320616,82.08,52032,1020500,3786284,93.59,2371268,784044,127932,lo,11.80,11.80,1.50,1.50,0.00,0.00,0.00,0.00,0.80,16706.40,13114.80,0.00,5931.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,4695.80
03:04:56,55.84,0.00,2.92,0.10,0.00,41.15,244.00,1.60,38016.00,155.81,1.66,6.81,0.25,6.00,5.00,0.00,5.00,0.00,1432.00,2,686,1.24,1.14,0.55,1,334492,3711324,91.73,52076,1020764,4345696,107.41,2757900,784060,128420,lo,899.40,899.40,20851.24,20851.24,0.00,0.00,0.00,0.00,0.00,50.40,20961.20,0.00,1485.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,2913.00
03:05:01,71.53,0.00,4.02,0.00,0.00,24.45,4.60,0.00,1345.60,292.52,0.01,2.43,0.52,0.24,74.60,0.00,74.60,0.00,51337.60,0,759,1.14,1.12,0.54,0,500612,3545204,87.63,52120,1021080,4163640,102.91,2592740,784016,180,lo,118.40,118.40,2105.06,2105.06,0.00,0.00,0.00,0.00,0.00,25788.80,30882.40,0.00,39085.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,3628.60
03:05:06,72.76,0.00,4.72,0.10,0.00,22.41,74.40,0.00,51412.80,691.03,0.84,11.26,0.20,1.52,1.60,0.00,1.60,0.00,270.40,1,758,1.21,1.13,0.55,5,333248,3712568,91.76,52152,1021396,4350928,107.54,2758452,784024,1180,lo,213.00,213.00,4152.14,4152.14,0.00,0.00,0.00,0.00,0.00,53.60,34658.60,0.00,26197.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.40,3561.20
03:05:11,56.51,0.00,3.83,0.10,0.00,39.56,2.20,0.00,281.60,128.00,0.01,5.09,2.55,0.56,1.80,0.00,1.80,0.00,190.40,0,760,1.43,1.18,0.57,1,578176,3467640,85.71,52176,1021516,3971876,98.17,2514260,783988,1360,lo,286.80,286.80,6223.63,6223.63,0.00,0.00,0.00,0.00,0.00,56.80,26166.40,0.00,38233.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.80,3220.80
03:05:16,69.66,0.00,4.64,0.10,0.00,25.60,1.40,0.00,120.00,85.71,0.01,4.00,4.00,0.56,1.00,0.00,1.00,0.00,30.40,0,742,1.64,1.23,0.59,0,497580,3548236,87.70,52196,1021720,4163080,102.90,2595756,783956,1584,lo,198.40,198.40,4150.37,4150.37,0.00,0.00,0.00,0.00,0.00,56.00,30749.20,0.00,26248.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.40,3195.80
03:05:21,74.90,0.00,4.62,0.10,0.00,20.38,1.40,0.00,100.80,72.00,0.00,1.71,1.71,0.24,1.60,0.00,1.60,0.00,187.20,3,757,1.75,1.26,0.60,4,328060,3717756,91.89,52220,1022024,4361752,107.81,2764212,784008,1916,lo,191.00,191.00,4150.53,4150.53,0.00,0.00,0.00,0.00,0.00,52.80,34605.40,0.00,26016.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.40,3534.20
03:05:26,70.31,0.00,4.11,0.00,0.00,25.58,1.20,0.00,112.00,93.33,0.00,2.67,2.67,0.32,1.60,0.00,1.60,0.00,129.60,0,762,1.85,1.29,0.62,0,504592,3541224,87.53,52256,1022212,4133908,102.18,2589276,783936,2296,lo,270.00,270.00,6222.29,6222.29,0.00,0.00,0.00,0.00,0.00,64.80,30202.20,0.00,38626.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.40,3314.40
