timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:51:24,14.03,0.00,1.33,0.15,0.00,84.49,20.60,0.00,665.60,32.31,0.03,1.28,0.85,1.76,20.20,0.00,20.20,0.00,652.80,0,905,3.65,2.71,1.35,3,39399808,26445996,40.16,260048,21242340,10181740,15.46,6005756,19537888,3052,lo,84.80,84.80,122.79,122.79,0.00,0.00,0.00,0.00,0.00,333.60,23793.60,0.00,32648.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.40,4646.80
15:51:29,26.78,0.00,1.93,0.05,0.00,71.24,22.80,0.00,643.20,28.21,0.03,1.12,0.53,1.20,23.60,0.00,23.60,0.00,604.80,4,910,3.44,2.68,1.35,3,39463372,26382432,40.07,260064,21240492,9656264,14.66,5945640,19536292,4176,lo,110.00,110.00,228.38,228.38,0.00,0.00,0.00,0.00,0.00,321.60,33641.20,0.00,36196.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.00,5880.60
15:51:34,31.42,0.00,1.36,0.08,0.00,67.15,27.60,0.00,593.60,21.51,0.09,3.42,0.17,0.48,28.00,0.00,28.00,0.00,657.60,7,1023,3.40,2.68,1.35,4,39071176,26774628,40.66,260072,21258936,10744012,16.32,6316552,19553684,21476,lo,180.40,180.40,3647.20,3647.20,0.00,0.00,0.00,0.00,0.00,296.80,21445.80,0.00,2777.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.20,6746.80
15:51:39,44.15,0.00,3.04,0.05,0.00,52.76,10.80,0.00,232.00,21.48,0.01,1.19,1.19,1.28,10.80,0.00,10.80,0.00,260.80,4,1011,3.29,2.67,1.36,3,39057352,26788452,40.68,260088,21398488,10614672,16.12,6196220,19686116,161068,lo,1061.00,1061.00,27980.51,27980.51,0.00,0.00,0.00,0.00,0.00,116.00,25488.20,0.00,35220.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.60,12493.40
15:51:44,47.40,0.00,3.00,0.08,0.00,49.52,7.40,0.00,176.00,23.78,0.01,1.19,1.19,0.88,7.40,0.00,7.40,0.00,172.80,4,1000,3.67,2.76,1.39,4,38906104,26939700,40.91,260092,21525076,10314632,15.66,6224156,19806124,287632,lo,972.20,972.20,25377.16,25377.16,0.00,0.00,0.00,0.00,0.00,88.00,24888.00,0.00,27014.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.80,13153.60
15:51:49,13.99,0.00,1.40,0.13,0.00,84.48,16.20,0.00,206.40,12.74,0.02,1.04,0.94,1.52,16.20,0.00,16.20,0.00,196.80,8,900,3.45,2.73,1.39,3,39099096,26746708,40.62,260092,21554568,10154144,15.42,6005072,19834244,318624,lo,281.60,281.60,6308.34,6308.34,0.00,0.00,0.00,0.00,0.00,103.20,22309.20,0.00,34052.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,4607.60
15:51:54,27.72,0.00,3.07,0.25,0.00,68.96,68.40,0.00,64345.60,940.73,12.17,177.98,2.36,16.16,67.40,0.00,67.40,0.00,64163.20,4,905,3.66,2.79,1.42,3,42423836,23421968,35.57,260100,18406484,9587596,14.56,5716384,16880836,160544,lo,441.00,441.00,10938.97,10938.97,0.00,0.00,0.00,0.00,0.00,32172.80,31559.40,0.00,196891.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.20,6515.60
15:51:59,30.57,0.00,1.65,0.63,0.00,67.15,58.60,0.00,64072.00,1093.38,7.72,131.81,1.61,9.44,58.60,0.00,58.60,0.00,64211.20,8,1024,3.61,2.79,1.43,2,41998224,23847580,36.22,260112,18406872,10722216,16.28,6137456,16881084,1316,lo,57.60,57.60,32.14,32.14,0.00,0.00,0.00,0.00,0.00,32036.00,23836.00,0.00,2033.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,5668.20
15:52:04,36.79,0.00,2.87,0.03,0.00,60.32,2.80,0.00,172.80,61.71,0.00,1.71,1.71,0.48,3.80,0.00,3.80,0.00,212.80,6,1017,3.56,2.79,1.43,3,42121956,23723848,36.03,260136,18408584,10585800,16.08,6013456,16881160,3148,lo,136.40,136.40,349.83,349.83,0.00,0.00,0.00,0.00,0.00,86.40,47400.40,0.00,53146.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.80,8778.40
15:52:09,42.23,0.00,2.36,0.05,0.00,55.36,2.60,0.00,238.40,91.69,0.00,0.62,0.62,0.16,2.60,0.00,2.60,0.00,272.00,0,1011,3.59,2.81,1.45,3,42112468,23733336,36.04,260140,18409960,10303156,15.65,6020652,16881468,4224,lo,121.80,121.80,319.90,319.90,0.00,0.00,0.00,0.00,0.00,119.20,39284.00,0.00,38439.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.20,7149.80
15:52:14,27.06,0.00,1.88,0.05,0.00,71.01,6.80,0.00,364.80,53.65,0.01,1.18,1.18,0.80,6.80,0.00,6.80,0.00,342.40,1,992,3.79,2.87,1.47,3,42183968,23661836,35.94,260152,18411180,10252180,15.57,5948812,16882652,4956,lo,124.60,124.60,367.46,367.46,0.00,0.00,0.00,0.00,0.00,182.40,25444.40,0.00,28744.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.40,7876.20
15:52:19,42.71,0.00,2.22,0.08,0.00,54.99,11.20,0.00,625.60,55.86,0.02,1.64,0.79,0.88,11.20,0.00,11.20,0.00,630.40,2,1000,4.04,2.94,1.50,3,42115368,23730436,36.04,260152,18412648,10305484,15.65,6015064,16885084,5292,lo,152.20,152.20,495.94,495.94,0.00,0.00,0.00,0.00,0.00,312.80,27997.20,0.00,24032.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,9273.00
15:52:24,28.98,0.00,1.69,0.08,0.00,69.26,26.00,0.00,748.80,28.80,0.03,0.98,0.71,1.84,26.00,0.00,26.00,0.00,744.00,0,920,3.96,2.94,1.51,3,42242972,23602832,35.85,260160,18414124,9981588,15.16,5883996,16887524,5512,lo,189.20,189.20,618.48,618.48,0.00,0.00,0.00,0.00,0.00,374.40,18099.20,0.00,24360.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.60,7188.40
