timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:55:29,53.73,0.00,5.43,0.15,0.00,40.69,36.80,0.00,16388.80,445.35,0.82,22.37,0.93,3.44,36.20,0.00,36.20,0.00,16078.40,1,852,5.67,3.76,2.06,4,42382468,23463336,35.63,260452,19043792,8829124,13.41,5144056,17482104,681604,lo,2863.40,2863.40,73682.41,73682.41,0.00,0.00,0.00,0.00,0.00,8194.40,44466.00,0.00,123037.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,71.60,15738.80
15:55:34,39.18,0.00,4.47,0.35,0.00,56.00,41.20,0.00,47336.00,1148.93,3.20,74.72,1.34,5.52,42.00,0.00,42.00,0.00,47795.20,6,871,5.53,3.77,2.07,1,42286756,23559048,35.78,261064,18720392,8641716,13.12,5508272,17178416,429024,lo,390.60,390.60,10175.93,10175.93,0.00,0.00,0.00,0.00,0.00,25032.80,41943.20,0.00,47627.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.20,7745.20
15:55:39,37.03,0.00,1.63,0.73,0.00,60.61,48.60,0.00,37472.00,771.03,2.66,57.23,1.30,6.32,48.20,0.00,48.20,0.00,37334.40,0,968,5.41,3.77,2.08,2,41711056,24134748,36.65,261064,18773492,9957844,15.12,6029524,17228508,417480,lo,590.80,590.80,10616.24,10616.24,0.00,0.00,0.00,0.00,0.00,17371.20,29575.40,0.00,5731.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.40,5941.40
15:55:44,32.74,0.00,1.96,0.30,0.00,65.00,66.00,0.00,37865.60,573.72,2.91,44.10,0.57,3.76,66.20,0.00,66.20,0.00,37907.20,2,1040,5.30,3.77,2.09,3,41185748,24660056,37.45,261072,18825132,10737928,16.31,6549032,17228872,374612,lo,477.80,477.80,15784.81,15784.81,0.00,0.00,0.00,0.00,0.00,18932.80,26419.80,0.00,2556.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.20,6318.80
15:55:49,37.28,0.00,2.58,0.38,0.00,59.76,26.20,0.00,21155.20,807.45,5.22,99.66,2.99,7.84,25.20,0.00,25.20,0.00,19904.00,5,1021,5.03,3.74,2.09,3,41503032,24342772,36.97,261072,18936416,10523128,15.98,6229468,17228712,409104,lo,520.60,520.60,15798.18,15798.18,0.00,0.00,0.00,0.00,0.00,15456.80,30604.40,0.00,51821.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.20,7724.60
15:55:54,45.45,0.00,2.36,0.18,0.00,52.01,8.60,0.00,9881.60,1149.02,0.05,309.40,2.42,2.08,9.60,0.00,9.60,0.00,11136.00,7,1024,4.63,3.68,2.08,1,41260812,24584992,37.34,261080,19017760,10691348,16.24,6471364,17228716,490620,lo,493.80,493.80,15789.92,15789.92,0.00,0.00,0.00,0.00,0.00,61.60,34959.20,0.00,26410.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.20,7591.60
15:55:59,26.88,0.00,1.62,0.02,0.00,71.47,9.00,0.00,14315.20,1590.58,0.21,23.11,1.78,1.60,9.00,0.00,9.00,0.00,14403.20,2,1045,4.42,3.65,2.08,0,41049680,24796124,37.66,261084,19058700,10729408,16.29,6642536,17264588,495824,lo,664.80,664.80,22917.98,22917.98,0.00,0.00,0.00,0.00,0.00,7158.40,22093.40,0.00,13425.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.40,4982.20
15:56:04,40.14,0.00,3.62,0.30,0.00,55.94,294.40,0.00,72516.80,246.32,6.57,18.48,0.27,7.92,286.00,0.00,286.00,0.00,71345.60,5,1033,4.55,3.69,2.10,1,40905256,24940548,37.88,261084,19179232,10712388,16.27,6616432,17426000,421704,lo,1018.80,1018.80,33167.04,33167.04,0.00,0.00,0.00,0.00,0.00,38025.60,26496.60,0.00,33404.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.40,10037.60
15:56:09,42.32,0.00,3.62,3.47,0.00,50.59,300.80,0.00,94833.60,315.27,26.03,90.28,1.04,31.20,309.00,0.00,309.00,0.00,96003.20,4,1023,4.66,3.73,2.12,0,41014312,24831492,37.71,261112,19296164,10603756,16.10,6318836,17618868,325680,lo,1273.20,1273.20,39901.87,39901.87,0.00,0.00,0.00,0.00,0.00,45645.60,22555.00,0.00,44510.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.40,11657.00
15:56:14,42.52,0.00,3.32,0.30,0.00,53.86,28.00,0.00,34659.20,1237.83,0.54,19.60,1.43,4.00,27.40,0.00,27.40,0.00,34520.00,5,997,4.37,3.68,2.11,0,40989380,24856424,37.75,261116,19375164,10358336,15.73,6186512,17775012,325892,lo,992.20,992.20,32131.04,32131.04,0.00,0.00,0.00,0.00,0.00,17260.00,27856.60,0.00,36936.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.60,9923.40
15:56:19,14.96,0.00,1.78,0.10,0.00,83.16,50.40,0.00,19985.60,396.54,0.52,10.22,0.51,2.56,50.60,0.00,50.60,0.00,19987.20,1,902,4.10,3.64,2.11,2,41225176,24620628,37.39,261120,19413584,10052796,15.27,5877100,17851980,316152,lo,550.60,550.60,16079.23,16079.23,0.00,0.00,0.00,0.00,0.00,10065.60,14986.00,0.00,30689.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,5741.80
