timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
16:21:34,55.38,0.00,4.85,0.65,0.00,39.12,25.40,0.00,4825.60,189.98,0.32,12.66,1.67,4.24,25.40,0.00,25.40,0.00,4825.60,6,892,5.64,5.08,4.14,0,48788664,17057140,25.90,303892,12279976,10139248,15.40,5279184,11113916,489820,lo,2505.20,2505.20,47000.60,47000.60,0.00,0.00,0.00,0.00,0.00,2412.80,13871.20,0.00,119244.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.40,12574.60
16:21:39,38.93,0.00,3.59,0.08,0.00,57.40,22.80,0.00,32300.80,1416.70,1.48,64.77,1.68,3.84,22.80,0.00,22.80,0.00,32300.80,6,879,5.43,5.05,4.13,0,49036008,16809796,25.53,303892,12173176,8843684,13.43,5110812,11043700,306936,lo,318.60,318.60,6436.43,6436.43,0.00,0.00,0.00,0.00,0.00,16150.40,62983.60,0.00,76727.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,61.60,7850.60
16:21:44,55.43,0.00,4.13,0.43,0.00,40.01,58.40,0.00,66030.40,1130.66,5.66,96.95,1.44,8.40,58.40,0.00,58.40,0.00,66030.40,2,989,4.99,4.97,4.11,0,48117396,17728408,26.92,303896,12326656,9975840,15.15,5945352,11120316,295508,lo,514.20,514.20,17336.71,17336.71,0.00,0.00,0.00,0.00,0.00,33015.20,41784.40,0.00,6076.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.60,7743.00
16:21:49,19.20,0.00,0.73,0.18,0.00,79.90,11.40,0.00,11073.60,971.37,0.60,52.98,2.04,2.32,11.40,0.00,11.40,0.00,11073.60,8,1012,4.75,4.92,4.10,0,48013440,17832364,27.08,303900,12332420,9993824,15.18,6048960,11120480,273968,lo,605.60,605.60,14503.43,14503.43,0.00,0.00,0.00,0.00,0.00,5536.80,6114.20,0.00,1333.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.20,5300.60
16:21:54,60.30,0.00,2.40,0.15,0.00,37.15,8.20,0.00,10816.00,1319.02,3.12,73.66,3.32,2.72,7.00,0.00,7.00,0.00,8358.40,10,1006,5.01,4.97,4.12,1,47890436,17955368,27.27,303904,12349824,10036396,15.24,6170096,11120548,160356,lo,1494.00,1494.00,14400.95,14400.95,0.00,0.00,0.00,0.00,0.00,25127.20,7494.00,0.00,12609.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.80,11431.00
16:21:59,57.81,0.00,3.85,0.08,0.00,38.27,43.40,0.00,72995.20,1681.92,3.31,134.32,1.73,7.52,43.60,0.00,43.60,0.00,75320.00,16,959,5.41,5.05,4.15,0,48217396,17628408,26.77,303908,12403400,9886860,15.02,5772724,11192348,200276,lo,1987.00,1987.00,55947.20,55947.20,0.00,0.00,0.00,0.00,0.00,16712.00,46866.20,0.00,74102.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,65.60,11020.40
16:22:04,90.77,0.00,2.15,0.00,0.00,7.08,4.80,0.00,5675.20,1182.33,0.18,36.83,3.83,1.84,5.40,0.00,5.40,0.00,5681.60,7,1009,5.54,5.08,4.17,1,47890824,17954980,27.27,303908,12410388,9959296,15.13,6099056,11192292,205820,lo,692.60,692.60,16953.55,16953.55,0.00,0.00,0.00,0.00,0.00,2903.20,30257.20,0.00,13825.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.60,6744.80
16:22:09,71.56,0.00,1.19,0.05,0.00,27.19,7.00,0.00,5672.00,810.29,0.19,26.51,1.14,0.80,7.00,0.00,7.00,0.00,5692.80,2,1012,5.10,5.00,4.14,1,47735356,18110448,27.50,303908,12413596,10025404,15.23,6249340,11195052,196612,lo,640.20,640.20,20453.44,20453.44,0.00,0.00,0.00,0.00,0.00,2836.00,10412.60,0.00,2344.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5413.20
16:22:14,23.25,0.00,0.65,0.03,0.00,76.08,14.60,0.00,12918.40,884.82,0.60,41.21,0.99,1.44,14.40,0.00,14.40,0.00,12952.00,2,1007,4.69,4.92,4.12,1,47714220,18131584,27.54,303908,12413616,10001392,15.19,6272912,11193872,164544,lo,397.60,397.60,11008.47,11008.47,0.00,0.00,0.00,0.00,0.00,6459.20,2950.00,0.00,1337.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.20,2907.00
16:22:19,25.88,0.00,0.38,0.05,0.00,73.70,15.40,0.00,30686.40,1992.62,1.44,93.51,1.77,2.72,15.60,0.00,15.60,0.00,30718.40,3,1009,4.39,4.85,4.10,1,47711108,18134696,27.54,303912,12413640,9966568,15.14,6275100,11193880,87976,lo,489.60,489.60,13755.93,13755.93,0.00,0.00,0.00,0.00,0.00,15343.20,584.40,0.00,342.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.60,3216.80
16:22:24,23.96,0.00,0.68,0.00,0.00,75.36,18.00,0.00,392.00,21.78,0.04,2.44,0.13,0.24,18.00,0.00,18.00,0.00,345.60,3,1008,4.04,4.77,4.08,1,47599932,18245872,27.71,303912,12419956,10025840,15.23,6381512,11199268,93556,lo,39.60,39.60,17.80,17.80,0.00,0.00,0.00,0.00,0.00,196.00,5912.00,0.00,256.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,4611.40
