timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:54:18,67.54,0.00,4.33,0.10,0.00,28.02,7.60,1.60,262.40,34.74,0.00,0.21,0.21,0.16,7.60,0.20,7.40,1.60,262.40,2,714,2.03,2.59,2.41,0,1021724,3006316,74.63,27872,470828,4489248,111.45,2612908,254656,3168,lo,98.00,98.00,211.93,211.93,0.00,0.00,0.00,0.00,0.80,131.20,22820.20,0.00,23151.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.80,3135.80
17:54:23,57.59,0.00,3.42,0.00,0.00,38.99,3.40,0.00,147.20,43.29,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,147.20,4,808,2.11,2.60,2.41,0,719144,3308896,82.15,27880,471176,4999264,124.11,2912172,254792,3468,lo,45.20,45.20,30.60,30.60,0.00,0.00,0.00,0.00,0.00,73.60,16811.00,0.00,1304.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.80,3274.00
17:54:28,85.26,0.00,6.22,0.00,0.00,8.53,2.00,0.00,172.80,86.40,0.00,1.60,1.60,0.32,2.00,0.00,2.00,0.00,172.80,5,812,2.18,2.61,2.42,0,623892,3404148,84.51,27900,471296,5218476,129.55,3006972,254788,3628,lo,71.00,71.00,15.90,15.90,0.00,0.00,0.00,0.00,0.00,86.40,29868.00,0.00,25076.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.80,4306.40
17:54:33,81.83,0.00,5.12,0.00,0.00,13.05,1.40,0.00,115.20,82.29,0.00,1.14,1.14,0.16,1.40,0.00,1.40,0.00,115.20,4,823,2.01,2.56,2.40,0,566904,3461136,85.93,27916,471628,5244568,130.20,3063216,255048,3984,lo,70.80,70.80,13.41,13.41,0.00,0.00,0.00,0.00,0.00,57.60,28645.60,0.00,25468.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.40,4284.00
17:54:38,74.12,0.00,6.42,0.00,0.00,19.46,1.80,0.00,148.80,82.67,0.00,0.89,0.89,0.16,1.80,0.00,1.80,0.00,148.80,0,779,2.09,2.57,2.41,0,785184,3242856,80.51,27928,471424,4801060,119.19,2845696,254776,3808,lo,98.00,98.00,19.55,19.55,0.00,0.00,0.00,0.00,0.00,74.40,39547.60,0.00,50295.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.40,4336.60
17:54:43,72.46,0.00,4.42,0.00,0.00,23.12,22.80,1.60,548.80,24.14,0.00,0.07,0.07,0.16,22.80,0.20,22.60,1.60,548.80,3,814,2.24,2.60,2.42,0,600488,3427552,85.09,27952,471636,5140380,127.61,3029696,254976,3064,lo,81.40,81.40,16.83,16.83,0.00,0.00,0.00,0.00,0.80,274.40,23201.20,0.00,13449.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,3923.00
17:54:48,90.17,0.00,4.91,0.00,0.00,4.91,12.00,0.00,648.00,54.00,0.00,0.33,0.33,0.40,12.00,0.00,12.00,0.00,648.00,4,814,2.30,2.60,2.42,0,658556,3369484,83.65,27964,471912,5126952,127.28,2971096,254944,2440,lo,87.80,87.80,19.43,19.43,0.00,0.00,0.00,0.00,0.00,324.00,20246.40,0.00,22557.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.20,4309.20
17:54:53,93.07,0.00,5.32,0.00,0.00,1.61,11.00,1.60,713.60,65.02,0.01,1.02,1.02,1.12,11.00,0.20,10.80,1.60,713.60,2,794,2.52,2.64,2.43,0,585404,3442636,85.47,27980,471920,5204188,129.20,3045384,254884,1392,lo,118.00,118.00,24.90,24.90,0.00,0.00,0.00,0.00,0.80,356.80,19492.80,0.00,22494.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,5007.40
17:54:58,59.70,0.00,3.52,0.20,0.00,36.58,12.80,3.20,288.00,22.75,0.00,0.38,0.37,0.48,12.00,0.40,11.60,3.20,281.60,4,725,2.48,2.63,2.43,0,789740,3238300,80.39,28000,472260,4782544,118.73,2842476,255072,1520,lo,149.60,149.60,183.38,183.38,0.00,0.00,0.00,0.00,1.60,140.80,11747.00,0.00,15116.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.60,3433.80
17:55:03,2.91,0.00,0.60,0.00,0.00,96.49,9.80,54.40,132.80,19.10,0.00,0.16,0.16,0.16,10.60,6.80,3.80,54.40,139.20,0,687,2.28,2.59,2.42,0,1086468,2941572,73.03,28128,471940,4285380,106.39,2547252,254852,1896,lo,38.00,38.00,26.94,26.94,0.00,0.00,0.00,0.00,27.20,69.60,230.40,0.00,15230.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.40,986.60
