timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
18:28:48,72.54,0.00,4.93,0.20,0.00,22.33,9.00,67.20,252.80,35.56,0.00,0.53,0.53,0.48,9.20,2.80,6.40,67.20,254.40,4,709,2.21,1.67,1.13,0,519256,3508784,87.11,4164,973864,4527484,112.40,2691688,665160,2848,lo,90.60,90.60,192.66,192.66,0.00,0.00,0.00,0.00,33.60,127.20,22901.60,0.80,23054.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.80,3297.20
18:28:53,57.82,0.00,2.30,0.10,0.00,39.78,14.40,219.20,120.00,23.56,0.01,0.39,0.33,0.48,14.40,12.60,1.80,219.20,120.00,5,804,2.03,1.64,1.12,0,253316,3774724,93.71,4176,974716,5024444,124.74,2956684,662760,3200,lo,45.20,45.20,30.53,30.53,0.00,0.00,0.00,0.00,109.60,60.00,15099.40,0.00,1468.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.20,3092.60
18:28:58,86.26,0.00,7.02,1.10,0.00,5.62,75.80,612.80,25984.00,350.88,4.11,54.17,1.53,11.60,75.80,21.20,54.60,612.80,25984.00,3,805,2.19,1.68,1.14,0,587980,3440060,85.40,3304,640252,5024520,124.74,2991040,293088,18288,lo,508.00,508.00,16210.78,16210.78,0.00,0.00,0.00,0.00,306.40,12992.00,25919.20,3.20,46593.60,20861.40,0.00,20800.80,99.71,0.00,0.00,0,0,0.00,0,0.00,22.20,4218.00
18:29:03,83.88,0.00,4.80,4.80,0.00,6.51,242.00,18137.60,34888.00,219.11,8.20,33.89,0.78,18.88,242.00,199.40,42.60,18137.60,34888.00,4,794,2.33,1.72,1.16,0,602716,3425324,85.04,2944,664264,4814476,119.52,2992092,278424,11144,lo,491.00,491.00,16206.77,16206.77,0.00,0.00,0.00,0.00,9068.80,17444.00,24738.00,5.20,31372.40,5031.00,0.00,5013.40,99.65,0.00,0.00,0,0,0.00,0,0.00,21.00,3960.00
18:29:08,83.87,0.00,7.31,2.20,0.00,6.61,258.20,24529.60,27068.80,199.84,5.49,21.28,0.55,14.08,255.80,214.60,41.20,24507.20,27068.80,3,791,2.47,1.76,1.17,0,603632,3424408,85.01,2820,636140,4922760,122.21,2984100,284676,23548,lo,526.20,526.20,16207.47,16207.47,0.00,0.00,0.00,0.00,12252.80,13534.40,27271.60,3.60,34218.60,9101.20,0.00,8462.20,92.98,0.00,0.00,0,0,0.00,0,0.00,17.40,4332.60
18:29:13,75.86,0.00,5.23,0.40,0.00,18.51,184.40,18532.80,2134.40,112.08,0.16,0.89,0.28,5.20,186.60,184.60,2.00,18553.60,2134.40,3,822,2.43,1.76,1.18,0,381840,3646200,90.52,3116,718448,5172684,128.42,3150124,339032,58592,lo,464.00,464.00,15096.76,15096.76,0.00,0.00,0.00,0.00,9277.60,1067.20,20368.40,0.60,13427.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.40,3463.80
18:29:18,78.65,0.00,6.04,4.63,0.00,10.67,208.40,15696.00,39422.40,264.48,11.70,56.15,0.97,20.16,208.60,163.00,45.60,15697.60,39422.40,2,809,2.64,1.81,1.20,0,352568,3675472,91.25,2680,774080,5145960,127.75,3149696,369408,41220,lo,568.20,568.20,17273.81,17273.81,0.00,0.00,0.00,0.00,7848.80,19711.20,19304.40,0.20,26662.20,2988.60,0.00,2982.40,99.79,0.00,0.00,0,0,0.00,0,0.00,23.20,5376.00
18:29:23,86.53,0.00,7.54,0.20,0.00,5.73,56.60,4057.60,32899.20,652.95,1.74,30.76,2.05,11.60,56.60,18.20,38.40,4057.60,32899.20,3,808,2.75,1.85,1.21,0,304676,3723364,92.44,2712,851696,5113236,126.94,3085632,481212,40464,lo,989.20,989.20,31956.05,31956.05,0.00,0.00,0.00,0.00,2028.80,16449.60,15388.20,0.80,23451.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,6207.60
18:29:28,71.41,0.00,6.02,6.62,0.00,15.95,80.80,4080.00,48217.60,647.25,10.20,126.29,2.47,19.92,80.80,18.40,62.40,4080.00,48217.60,3,791,2.85,1.89,1.23,0,441188,3586852,89.05,2668,804896,4912552,121.96,2947676,482696,81332,lo,970.20,970.20,32135.57,32135.57,0.00,0.00,0.00,0.00,2040.00,24108.80,11147.60,2.00,28463.40,6403.00,0.00,6402.60,99.99,0.00,0.00,0,0,0.00,0,0.00,22.20,5553.20
18:29:33,87.84,0.00,6.93,1.31,0.00,3.92,78.00,3953.60,53380.80,735.06,18.64,151.69,2.91,22.72,78.00,16.80,61.20,3953.60,53380.80,3,821,2.94,1.92,1.24,3,242040,3786000,93.99,2712,862408,5153972,127.95,3081324,546556,18552,lo,981.80,981.80,32054.25,32054.25,0.00,0.00,0.00,0.00,1977.60,36669.60,15980.40,0.00,16678.00,1593.60,0.00,1593.60,100.00,0.00,0.00,0,0,0.00,0,0.00,22.80,6091.60
