timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
21:38:27,13.24,0.00,1.60,0.20,0.00,84.95,10.40,712.00,1.60,68.62,0.00,0.46,0.46,0.48,10.80,10.20,0.60,712.00,78.40,4,752,1.27,0.41,0.14,0,497668,3530372,87.64,56148,923544,4698564,116.65,2647964,691588,53608,lo,76.60,76.60,24.43,24.43,0.00,0.00,0.00,0.00,356.00,39.20,5204.80,6.40,2368.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.40,1925.40
21:38:32,69.65,0.00,5.03,0.00,0.00,25.33,2.40,49.60,107.20,65.33,0.00,0.33,0.33,0.08,2.40,1.00,1.40,49.60,168.00,3,760,1.17,0.41,0.14,0,379080,3648960,90.59,56200,924992,4903684,121.74,2767012,689964,55080,lo,106.80,106.80,34.55,34.55,0.00,0.00,0.00,0.00,24.80,84.00,22268.40,0.40,15049.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.60,3504.40
21:38:37,42.04,0.00,7.06,0.10,0.00,50.81,64.00,460.80,230.40,10.80,0.03,0.41,0.06,0.40,63.60,54.20,9.40,460.80,92.80,2,692,1.07,0.40,0.14,6,811236,3216804,79.86,57300,742396,4646496,115.35,2523304,546564,55608,lo,135.20,135.20,219.88,219.88,0.00,0.00,0.00,0.00,230.40,1875.20,13272.20,0.20,34047.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.60,2919.40
21:38:42,65.33,0.00,10.05,0.10,0.00,24.52,38.80,92.80,7617.60,198.72,0.54,13.94,0.33,1.28,39.40,2.40,37.00,92.80,7622.40,3,679,1.15,0.43,0.15,8,750452,3277588,81.37,58352,830044,4521972,112.26,2466024,633436,142252,lo,62.00,62.00,132.58,132.58,0.00,0.00,0.00,0.00,46.40,4179.20,25813.60,2.20,30635.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.20,3344.00
21:38:47,78.22,0.00,8.39,0.30,0.00,13.09,466.60,0.00,63515.20,136.12,33.89,72.64,0.64,29.68,466.20,0.00,466.20,0.00,63518.40,2,750,1.30,0.47,0.16,0,386400,3641640,90.41,59384,883048,4891672,121.44,2763832,684868,52780,lo,171.60,171.60,46.31,46.31,0.00,0.00,0.00,0.00,0.00,29848.80,15982.40,0.00,3575.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.20,4277.60
21:38:52,86.02,0.00,4.83,0.30,0.00,8.85,100.80,30.40,16198.40,161.00,3.68,36.56,0.46,4.64,100.80,2.60,98.20,30.40,16192.00,3,797,1.59,0.54,0.19,0,125624,3902416,96.88,56540,723000,5496624,136.46,3171592,534116,86192,lo,530.00,530.00,11442.08,11442.08,0.00,0.00,0.00,0.00,15.20,8124.80,22649.20,0.00,14784.80,10932.60,0.00,10756.60,98.39,0.00,0.00,0,0,0.00,0,0.00,18.60,5146.40
21:38:57,97.29,0.00,2.20,0.10,0.00,0.40,100.20,118.40,34662.40,347.11,7.44,74.29,1.48,14.80,101.00,3.40,97.60,118.40,34681.60,3,797,1.63,0.57,0.20,0,166396,3861644,95.87,53064,573268,5607252,139.21,3253264,413104,624,lo,515.40,515.40,15205.39,15205.39,0.00,0.00,0.00,0.00,59.20,17211.20,6577.00,0.00,9176.20,5615.60,2152.60,7676.60,98.82,0.00,0.00,0,0,0.00,0,0.00,0.00,1949.80
21:39:02,88.23,0.00,3.82,0.00,0.00,7.95,28.40,288.00,400.00,24.23,0.00,0.14,0.11,0.32,27.40,26.00,1.40,288.00,379.20,4,798,1.58,0.58,0.20,0,408884,3619156,89.85,53532,573660,5479948,136.05,3017584,407652,1956,lo,63.80,63.80,14.62,14.62,0.00,0.00,0.00,0.00,144.00,50.40,14549.00,1.40,26341.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.60,3893.20
21:39:07,97.00,0.00,2.80,0.00,0.00,0.20,248.60,30553.60,94.40,123.28,0.20,0.80,0.20,5.04,249.20,248.00,1.20,30553.60,123.20,4,804,1.61,0.60,0.21,0,136932,3891108,96.60,52008,614036,5584040,138.63,3241464,455100,2040,lo,476.20,476.20,16200.53,16200.53,0.00,0.00,0.00,0.00,15276.80,15.20,11793.20,0.00,2057.40,1896.80,0.00,1881.20,99.18,0.00,0.00,0,0,0.00,0,0.00,0.40,1848.40
21:39:12,85.76,0.00,3.81,0.00,0.00,10.43,1.80,3.20,57.60,33.78,0.00,0.00,0.00,0.00,1.60,0.40,1.20,3.20,115.20,3,803,2.28,0.76,0.27,0,366100,3661940,90.91,52036,614156,5489640,136.29,3017292,451376,2172,lo,61.20,61.20,12.33,12.33,0.00,0.00,0.00,0.00,1.60,57.60,14597.00,0.20,25682.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.80,4175.40
21:39:17,96.90,0.00,2.90,0.00,0.00,0.20,250.80,30558.40,86.40,122.19,0.24,0.95,0.24,6.08,250.80,250.40,0.40,30558.40,22.40,4,806,2.26,0.78,0.28,0,132676,3895364,96.71,49516,614032,5591984,138.83,3273016,428912,2276,lo,505.20,505.20,16201.51,16201.51,0.00,0.00,0.00,0.00,15279.20,11.20,11966.60,0.00,4200.20,3986.80,0.00,3952.40,99.14,0.00,0.00,0,0,0.00,0,0.00,0.20,1888.80
21:39:22,89.08,0.00,3.31,0.00,0.00,7.62,4.20,12.80,124.80,32.76,0.00,0.00,0.00,0.00,4.20,0.60,3.60,12.80,196.80,3,798,2.48,0.85,0.30,0,392584,3635456,90.25,49524,614244,5376376,133.47,3020472,422520,2392,lo,53.60,53.60,11.09,11.09,0.00,0.00,0.00,0.00,6.40,98.40,13274.20,0.00,25932.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.80,3831.40
21:39:27,65.73,0.00,1.70,0.00,0.00,32.57,173.00,15595.20,1019.20,96.04,0.12,0.68,0.18,3.20,174.00,149.00,25.00,15595.20,1020.80,1,814,2.36,0.85,0.30,0,199476,3828564,95.05,49664,653092,5506292,136.70,3204588,431120,332,lo,291.80,291.80,8109.46,8109.46,0.00,0.00,0.00,0.00,7797.60,510.40,7901.00,0.00,145.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.80,1735.80
21:39:32,69.25,0.00,2.81,0.00,0.00,27.94,124.80,15276.80,99.20,123.21,0.07,0.58,0.18,2.24,123.80,123.00,0.80,15276.80,75.20,1,813,2.41,0.89,0.32,0,155748,3872292,96.13,49676,691348,5501916,136.59,3209868,469228,704,lo,301.40,301.40,8109.05,8109.05,0.00,0.00,0.00,0.00,7638.40,37.60,13820.40,0.00,13309.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.20,2537.20
21:39:37,68.71,0.00,2.41,0.00,0.00,28.87,9.00,56.00,96.00,16.89,0.03,3.02,0.18,0.16,9.00,7.00,2.00,56.00,132.80,3,787,2.30,0.89,0.32,0,412500,3615540,89.76,49832,691196,5240904,130.11,2954824,468700,924,lo,64.20,64.20,14.58,14.58,0.00,0.00,0.00,0.00,28.00,66.40,8374.00,0.00,20924.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.60,3023.20
21:39:42,92.99,0.00,4.51,0.00,0.00,2.51,3.80,1.60,158.40,42.11,0.00,1.26,1.26,0.48,3.80,0.20,3.60,1.60,158.40,4,799,2.35,0.92,0.34,0,337800,3690240,91.61,49860,691516,5374740,133.43,3028996,468820,1208,lo,93.80,93.80,30.11,30.11,0.00,0.00,0.00,0.00,0.80,79.20,19293.60,0.00,15272.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,4602.40
21:39:47,90.22,0.00,5.04,0.00,0.00,4.74,5.20,1.60,182.40,35.38,0.00,0.62,0.62,0.32,5.20,0.20,5.00,1.60,177.60,4,780,2.49,0.97,0.36,0,416472,3611568,89.66,49880,691596,5173236,128.43,2951596,469004,1272,lo,123.60,123.60,43.60,43.60,0.00,0.00,0.00,0.00,0.80,88.80,18848.40,0.00,22497.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.40,4467.40
21:39:52,45.95,0.00,3.20,0.20,0.00,50.65,34.00,344.00,204.80,16.14,0.01,0.16,0.16,0.56,34.00,24.20,9.80,344.00,224.00,0,669,2.53,1.01,0.37,0,748592,3279448,81.42,50332,692096,4592524,114.01,2622112,468992,1372,lo,132.60,132.60,140.30,140.30,0.00,0.00,0.00,0.00,172.00,112.00,10561.40,1.40,26704.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.60,2460.80
