timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
16:28:24,71.41,0.00,4.65,2.42,0.00,21.52,137.00,0.00,3211.20,23.44,0.07,0.52,0.47,6.40,137.80,0.00,137.80,0.00,3243.20,1,694,1.89,2.31,2.14,1,3177696,4979112,61.04,98960,2326392,4785696,58.67,3137196,1622896,2360,lo,8.20,8.20,0.87,0.87,0.00,0.00,0.00,0.00,0.00,1643.20,21058.20,0.00,10530.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.60,3786.20
16:28:29,82.83,0.00,3.31,2.71,0.00,11.14,133.80,0.00,3185.60,23.81,0.06,0.43,0.39,5.28,133.00,0.00,133.00,0.00,3153.60,4,721,1.90,2.30,2.14,0,2999780,5157028,63.22,99760,2362636,5124072,62.82,3281164,1655840,36912,lo,321.20,321.20,6966.59,6966.59,0.00,0.00,0.00,0.00,0.00,1592.80,8311.40,0.00,1843.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,3726.20
16:28:34,61.59,0.00,3.43,0.00,0.00,34.98,11.60,0.00,454.40,39.17,0.00,0.28,0.14,0.16,11.80,0.00,11.80,0.00,456.00,6,815,1.99,2.31,2.15,0,2720480,5436328,66.65,99772,2363200,5788548,70.97,3557336,1655952,36748,lo,51.00,51.00,56.59,56.59,0.00,0.00,0.00,0.00,0.00,226.40,15146.00,0.00,1116.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.80,3049.00
16:28:39,81.83,0.00,4.42,0.10,0.00,13.65,3.80,0.00,155.20,40.84,0.00,0.84,0.84,0.32,3.60,0.00,3.60,0.00,153.60,3,818,2.15,2.34,2.16,0,2687864,5468944,67.05,99780,2363308,5900188,72.33,3591196,1654888,36880,lo,97.80,97.80,55.34,55.34,0.00,0.00,0.00,0.00,0.00,78.40,18219.40,0.00,16273.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.80,4365.40
16:28:44,92.59,0.00,4.01,0.00,0.00,3.41,3.40,0.00,241.60,71.06,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,241.60,4,823,2.38,2.38,2.17,0,2620968,5535840,67.87,99780,2363632,5989480,73.43,3657440,1655012,36940,lo,95.00,95.00,53.26,53.26,0.00,0.00,0.00,0.00,0.00,120.80,20172.00,0.00,16611.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.40,4179.60
16:28:49,92.87,0.00,4.22,0.00,0.00,2.91,3.80,0.00,212.80,56.00,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,212.80,5,823,2.35,2.38,2.17,0,2557452,5599356,68.65,99804,2363892,5990452,73.44,3720920,1655156,37172,lo,94.20,94.20,53.82,53.82,0.00,0.00,0.00,0.00,0.00,106.40,21741.00,0.00,18168.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.40,4633.60
16:28:54,83.52,0.00,4.52,0.00,0.00,11.96,11.40,0.00,273.60,24.00,0.01,0.56,0.56,0.64,11.40,0.00,11.40,0.00,273.60,0,773,2.40,2.39,2.18,0,2722896,5433912,66.62,99812,2364464,5567236,68.25,3555588,1655324,37548,lo,155.80,155.80,188.53,188.53,0.00,0.00,0.00,0.00,0.00,136.80,15714.80,0.00,23992.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.40,3986.00
16:28:59,7.22,0.00,0.90,5.62,0.00,86.26,21.20,0.00,14289.60,674.04,1.60,75.51,2.72,5.76,21.20,0.00,21.20,0.00,14289.60,0,734,2.21,2.35,2.16,0,2726476,5430332,66.57,99820,2364040,5567236,68.25,3553536,1655192,19176,lo,174.40,174.40,3489.01,3489.01,0.00,0.00,0.00,0.00,0.00,7144.80,158.80,0.00,1653.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.60,1008.00
16:29:04,50.80,0.00,4.02,0.00,0.00,45.17,22.80,0.00,7555.20,331.37,0.18,7.68,0.95,2.16,22.80,0.00,22.80,0.00,7555.20,2,739,2.11,2.33,2.16,0,2803892,5352916,65.63,99832,2363976,5387356,66.05,3476120,1656676,18052,lo,157.60,157.60,3568.96,3568.96,0.00,0.00,0.00,0.00,0.00,3777.60,15075.40,0.00,19684.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.60,2584.40
16:29:09,56.43,0.00,2.71,0.00,0.00,40.86,3.20,0.00,144.00,45.00,0.00,0.75,0.75,0.24,3.20,0.00,3.20,0.00,144.00,3,813,2.10,2.32,2.16,0,2590856,5565952,68.24,99840,2364588,5704240,69.93,3687116,1656260,18984,lo,58.40,58.40,66.07,66.07,0.00,0.00,0.00,0.00,0.00,72.00,11861.00,0.00,1158.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,2784.60
