timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
16:03:04,53.62,0.00,4.53,0.00,0.00,41.85,5.00,0.00,188.80,37.76,0.01,1.44,0.32,0.16,5.00,0.00,5.00,0.00,188.80,2,676,2.87,1.48,0.79,0,4392644,3764164,46.15,57268,1164408,5073632,62.20,2974500,604904,1920,lo,17.00,17.00,4.03,4.03,0.00,0.00,0.00,0.00,0.00,94.40,22064.80,0.00,27293.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.60,2443.80
16:03:09,79.88,0.00,4.53,0.00,0.00,15.59,7.20,0.00,232.00,32.22,0.00,0.22,0.11,0.08,7.20,0.00,7.20,0.00,232.00,4,702,2.72,1.47,0.79,0,4328496,3828312,46.93,57280,1164780,5055060,61.97,3037868,605508,3080,lo,102.00,102.00,226.20,226.20,0.00,0.00,0.00,0.00,0.00,116.00,22188.40,0.00,18979.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.80,3083.00
16:03:14,60.40,0.00,3.02,0.00,0.00,36.58,2.00,0.00,115.20,57.60,0.00,0.80,0.80,0.16,2.00,0.00,2.00,0.00,115.20,4,787,2.50,1.45,0.79,0,4089708,4067100,49.86,57292,1165132,5647828,69.24,3273184,605732,3544,lo,41.20,41.20,30.33,30.33,0.00,0.00,0.00,0.00,0.00,57.60,13804.60,0.00,1689.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.80,3111.60
16:03:19,88.89,0.00,6.61,0.00,0.00,4.50,2.00,0.00,118.40,59.20,0.00,1.20,0.80,0.16,2.00,0.00,2.00,0.00,118.40,6,798,2.62,1.49,0.81,0,4007488,4149320,50.87,57300,1165396,5617696,68.87,3354480,605876,3852,lo,79.00,79.00,17.83,17.83,0.00,0.00,0.00,0.00,0.00,59.20,30328.60,0.00,25995.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.20,4313.00
16:03:24,68.27,0.00,5.92,0.00,0.00,25.80,2.00,0.00,132.80,66.40,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,132.80,2,767,2.57,1.50,0.81,0,4251892,3904916,47.87,57308,1165276,5393796,66.13,3111936,605656,3752,lo,99.40,99.40,22.71,22.71,0.00,0.00,0.00,0.00,0.00,66.40,37942.00,0.00,49797.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.60,4339.40
16:03:29,74.50,0.00,4.42,0.00,0.00,21.08,2.60,0.00,102.40,39.38,0.00,0.92,0.92,0.24,2.60,0.00,2.60,0.00,102.40,3,802,2.60,1.53,0.82,0,4039996,4116812,50.47,57308,1165592,5739768,70.37,3322056,605904,4124,lo,57.60,57.60,11.73,11.73,0.00,0.00,0.00,0.00,0.00,51.20,23803.00,0.00,12956.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.60,3298.40
16:03:34,81.41,0.00,5.43,0.10,0.00,13.07,18.60,0.00,548.80,29.51,0.00,0.17,0.17,0.32,18.60,0.00,18.60,0.00,548.80,3,808,2.64,1.55,0.84,0,3974372,4182436,51.28,57312,1165692,5896856,72.29,3386768,605944,3128,lo,120.80,120.80,25.79,25.79,0.00,0.00,0.00,0.00,0.00,274.40,24164.80,0.00,20573.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.80,4718.80
16:03:39,91.78,0.00,4.71,0.10,0.00,3.41,16.40,0.00,1153.60,70.34,0.02,1.51,0.49,0.80,16.40,0.00,16.40,0.00,1153.60,5,781,2.83,1.61,0.86,0,4141228,4015580,49.23,57320,1166076,5636112,69.10,3221224,606068,1424,lo,100.60,100.60,22.11,22.11,0.00,0.00,0.00,0.00,0.00,576.80,21745.00,0.00,29839.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,4559.20
16:03:44,85.25,0.00,5.05,0.00,0.00,9.70,13.00,0.00,339.20,26.09,0.01,0.62,0.62,0.80,13.00,0.00,13.00,0.00,339.20,0,735,2.76,1.62,0.87,0,4262148,3894660,47.75,57324,1166104,5217056,63.96,3100564,606052,1456,lo,158.80,158.80,135.17,135.17,0.00,0.00,0.00,0.00,0.00,169.60,16502.00,0.00,22378.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.40,3865.20
16:03:49,48.04,0.00,3.42,0.00,0.00,48.54,4.40,0.00,222.40,50.55,0.00,0.55,0.55,0.24,4.40,0.00,4.40,0.00,222.40,3,688,2.78,1.64,0.88,0,4410948,3745860,45.92,57332,1165284,5031216,61.68,2955692,605384,2132,lo,18.00,18.00,4.15,4.15,0.00,0.00,0.00,0.00,0.00,111.20,21334.00,0.00,27552.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,2600.80
