timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:35:14,47.42,0.00,3.05,0.15,0.00,49.37,31.20,0.00,755.20,24.21,0.01,0.38,0.38,1.20,31.20,0.00,31.20,0.00,755.20,4,758,2.44,2.49,1.81,0,3703904,4452904,54.59,63792,1506568,5300172,64.98,3089556,1174536,63868,lo,17.20,17.20,2.06,2.06,0.00,0.00,0.00,0.00,0.00,377.60,16325.20,0.00,452.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.80,3294.60
17:35:19,42.92,0.00,2.76,0.30,0.00,54.02,9.20,0.00,1212.80,131.83,0.03,3.04,0.87,0.80,9.20,0.00,9.20,0.00,1212.80,1,772,2.41,2.49,1.81,0,3818120,4338688,53.19,63808,1480136,5312132,65.13,3015596,1147360,40036,lo,395.60,395.60,6983.43,6983.43,0.00,0.00,0.00,0.00,0.00,606.40,12632.00,0.00,20800.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.80,3922.00
17:35:24,49.04,0.00,2.37,0.00,0.00,48.59,16.00,0.00,1403.20,87.70,0.02,1.50,0.15,0.24,16.00,0.00,16.00,0.00,1403.20,7,877,2.62,2.53,1.83,0,3409072,4747736,58.21,63816,1480660,6103796,74.83,3420300,1147704,37572,lo,49.60,49.60,56.96,56.96,0.00,0.00,0.00,0.00,0.00,701.60,22628.80,0.00,1953.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.20,3636.20
17:35:29,76.43,0.00,4.22,0.00,0.00,19.35,3.20,0.00,292.80,91.50,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,292.80,5,892,2.81,2.57,1.85,0,3180892,4975916,61.00,63824,1481292,6157808,75.49,3649828,1145668,37900,lo,103.60,103.60,56.36,56.36,0.00,0.00,0.00,0.00,0.00,146.40,44898.00,0.00,33300.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.80,4657.00
17:35:34,74.37,0.00,3.73,0.00,0.00,21.90,3.20,0.00,155.20,48.50,0.00,0.25,0.25,0.08,3.20,0.00,3.20,0.00,155.20,0,876,2.74,2.56,1.85,0,2953464,5203344,63.79,63836,1481004,6408220,78.56,3876040,1145528,37664,lo,100.60,100.60,56.52,56.52,0.00,0.00,0.00,0.00,0.00,77.60,46907.40,0.00,35432.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.40,4752.80
17:35:39,69.34,0.00,4.06,0.00,0.00,26.59,6.60,0.00,448.00,67.88,0.02,3.15,0.24,0.16,6.60,0.00,6.60,0.00,448.00,1,876,2.92,2.60,1.86,0,3160160,4996648,61.26,63840,1481500,6309556,77.35,3670604,1145516,37524,lo,85.00,85.00,42.66,42.66,0.00,0.00,0.00,0.00,0.00,224.00,39828.60,0.00,49513.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.60,5126.40
17:35:44,57.85,0.00,3.73,0.00,0.00,38.42,6.60,0.00,332.80,50.42,0.00,0.61,0.48,0.32,6.60,0.00,6.60,0.00,332.80,4,873,2.93,2.61,1.87,0,3425632,4731176,58.00,63852,1481480,6113008,74.94,3406324,1145388,37172,lo,96.40,96.40,37.99,37.99,0.00,0.00,0.00,0.00,0.00,166.40,31799.20,0.00,44666.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.20,4732.80
17:35:49,73.78,0.00,3.43,0.05,0.00,22.74,8.40,0.00,7113.60,846.86,0.15,18.00,1.90,1.60,8.40,0.00,8.40,0.00,7113.60,5,881,2.85,2.60,1.87,0,3339076,4817732,59.06,63856,1481908,6197396,75.98,3492168,1145572,20260,lo,102.60,102.60,26.83,26.83,0.00,0.00,0.00,0.00,0.00,3556.80,26782.80,0.00,22222.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.80,5040.40
17:35:54,77.38,0.00,4.03,0.00,0.00,18.59,15.20,0.00,7489.60,492.74,0.48,31.79,1.32,2.00,15.20,0.00,15.20,0.00,7489.60,2,859,2.95,2.62,1.88,0,3355120,4801688,58.87,63856,1481924,5970912,73.20,3474904,1145524,2232,lo,137.80,137.80,33.25,33.25,0.00,0.00,0.00,0.00,0.00,3744.80,31440.00,0.00,32154.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.80,4849.40
17:35:59,29.44,0.00,1.80,0.05,0.00,68.70,20.00,0.00,513.60,25.68,0.01,0.32,0.28,0.56,20.00,0.00,20.00,0.00,513.60,0,777,2.87,2.61,1.88,0,3587156,4569652,56.02,63868,1482292,5663076,69.43,3244404,1145680,1808,lo,91.80,91.80,170.92,170.92,0.00,0.00,0.00,0.00,0.00,256.80,12030.60,0.00,23630.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.60,3889.80
