timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:33:27,30.73,0.00,1.03,1.41,0.00,66.83,243.40,1.60,5448.00,22.39,0.13,0.54,0.52,12.64,243.40,0.20,243.20,1.60,5448.00,2,820,2.96,2.82,1.66,0,12428036,3986308,24.29,45028,1171480,5664104,34.51,2897044,895808,1548,lo,12.60,12.60,1.45,1.45,0.00,0.00,0.00,0.00,0.80,2724.00,10389.20,0.00,503.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.40,4337.00
17:33:32,28.97,0.00,1.58,0.13,0.00,69.33,24.60,0.00,539.20,21.92,0.01,0.46,0.42,1.04,24.60,0.00,24.60,0.00,539.20,3,865,3.04,2.84,1.67,0,12153172,4261172,25.96,45196,1206424,6307276,38.43,3148800,916700,35944,lo,360.60,360.60,6971.59,6971.59,0.00,0.00,0.00,0.00,0.00,269.60,13908.40,0.00,2572.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.40,5724.40
17:33:37,31.60,0.00,1.78,0.00,0.00,66.62,33.60,0.00,14740.80,438.71,1.38,40.93,1.55,5.20,33.60,0.00,33.60,0.00,14740.80,9,971,3.12,2.86,1.69,0,11747084,4667260,28.43,45208,1206940,7178068,43.73,3551388,917024,336,lo,46.80,46.80,56.38,56.38,0.00,0.00,0.00,0.00,0.00,7370.40,23430.60,0.00,2956.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.20,4794.80
17:33:42,46.68,0.00,2.54,0.00,0.00,50.78,2.60,0.00,172.80,66.46,0.00,0.31,0.31,0.08,2.60,0.00,2.60,0.00,172.80,8,987,3.03,2.85,1.69,0,11515976,4898368,29.84,45220,1207572,7236692,44.09,3781348,916152,1364,lo,111.80,111.80,66.77,66.77,0.00,0.00,0.00,0.00,0.00,86.40,43982.60,0.00,31953.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.00,6889.40
17:33:47,49.85,0.00,3.46,0.00,0.00,46.69,2.00,0.00,177.60,88.80,0.01,2.80,2.80,0.56,2.00,0.00,2.00,0.00,177.60,7,977,3.02,2.85,1.69,0,11697488,4716856,28.74,45232,1207500,7210916,43.93,3600004,915752,1332,lo,109.20,109.20,53.53,53.53,0.00,0.00,0.00,0.00,0.00,88.80,49281.00,0.00,58175.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.60,6816.60
17:33:52,43.62,0.00,3.40,0.03,0.00,52.96,3.40,0.00,139.20,40.94,0.00,0.47,0.47,0.16,3.40,0.00,3.40,0.00,139.20,8,975,3.42,2.94,1.73,0,11712644,4701700,28.64,45236,1207932,7121856,43.39,3583960,916032,1800,lo,121.00,121.00,59.52,59.52,0.00,0.00,0.00,0.00,0.00,69.60,43336.20,0.00,43713.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.20,7526.00
17:33:57,44.48,0.00,2.41,0.03,0.00,53.08,4.00,0.00,185.60,46.40,0.00,0.60,0.60,0.24,4.00,0.00,4.00,0.00,185.60,5,972,3.87,3.04,1.77,0,11734912,4679432,28.51,45248,1207952,7138120,43.49,3562472,915756,1904,lo,114.60,114.60,37.05,37.05,0.00,0.00,0.00,0.00,0.00,92.80,27638.00,0.00,28320.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.60,6629.80
17:34:02,50.49,0.00,3.06,0.00,0.00,46.46,4.60,0.00,172.80,37.57,0.00,0.52,0.52,0.24,4.60,0.00,4.60,0.00,172.80,1,952,3.88,3.05,1.78,0,11778592,4635752,28.24,45260,1208280,6822412,41.56,3518020,916268,2260,lo,135.80,135.80,38.54,38.54,0.00,0.00,0.00,0.00,0.00,86.40,29230.40,0.00,31349.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.20,7131.00
17:34:07,20.10,0.00,1.38,0.05,0.00,78.48,9.80,0.00,249.60,25.47,0.02,1.96,0.98,0.96,9.80,0.00,9.80,0.00,249.60,1,864,3.73,3.04,1.78,0,11920572,4493772,27.38,45272,1208616,6514480,39.69,3375676,916120,2588,lo,112.60,112.60,175.77,175.77,0.00,0.00,0.00,0.00,0.00,124.80,12234.60,0.00,19525.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.40,4131.20
17:34:12,1.25,0.00,0.35,0.05,0.00,98.35,20.40,0.00,512.00,25.10,0.02,1.06,0.16,0.32,20.40,0.00,20.40,0.00,512.00,1,818,3.43,2.98,1.77,0,12316508,4097836,24.96,45284,1190728,5899556,35.94,2999040,899328,1348,lo,21.00,21.00,5.29,5.29,0.00,0.00,0.00,0.00,0.00,256.00,579.20,0.00,20123.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,1045.60
17:34:17,16.88,0.00,1.78,0.00,0.00,81.33,5.20,0.00,212.80,40.92,0.01,2.77,1.38,0.72,5.20,0.00,5.20,0.00,212.80,2,810,3.56,3.02,1.79,0,12698432,3715912,22.64,45296,1169452,5464580,33.29,2638288,883464,1916,lo,31.00,31.00,179.05,179.05,0.00,0.00,0.00,0.00,0.00,106.40,24054.60,0.00,41501.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.80,4654.40
