timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
19:19:27,28.12,0.00,1.30,1.23,0.00,69.34,231.80,0.00,5499.20,23.72,0.11,0.47,0.42,9.84,235.80,0.00,235.80,0.00,9196.80,3,831,3.29,2.92,2.31,0,24386388,8543020,25.94,109436,4822380,6873272,20.87,3942560,4268616,30360,lo,24.20,24.20,90.19,90.19,0.00,0.00,0.00,0.00,0.00,2750.40,22562.60,0.00,41531.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.00,5556.00
19:19:32,22.70,0.00,1.20,0.10,0.00,76.00,39.60,0.00,876.80,22.14,0.01,0.36,0.30,1.20,39.60,0.00,39.60,0.00,876.80,6,869,3.59,2.99,2.33,0,24083332,8846076,26.86,109656,4857388,7878696,23.93,4211884,4301112,64660,lo,310.80,310.80,6968.68,6968.68,0.00,0.00,0.00,0.00,0.00,438.40,14403.80,0.00,1414.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.20,6207.40
19:19:37,28.14,0.00,1.40,0.00,0.00,70.46,33.60,0.00,4008.00,119.29,0.13,3.74,0.10,0.32,33.60,0.00,33.60,0.00,4008.00,7,987,3.30,2.94,2.32,0,23584732,9344676,28.38,109660,4857904,8629000,26.20,4706480,4301460,55444,lo,57.40,57.40,57.56,57.56,0.00,0.00,0.00,0.00,0.00,2004.00,26611.60,0.00,1412.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.20,5164.80
19:19:42,44.31,0.00,2.23,0.00,0.00,53.46,3.60,0.00,1131.20,314.22,0.00,1.33,0.89,0.32,3.60,0.00,3.60,0.00,1131.20,9,991,3.20,2.92,2.32,0,23486564,9442844,28.68,109668,4859576,8604980,26.13,4805352,4300308,54952,lo,213.40,213.40,2779.39,2779.39,0.00,0.00,0.00,0.00,0.00,565.60,52462.00,0.00,47236.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.00,7532.00
19:19:47,44.38,0.00,2.51,0.00,0.00,53.11,5.60,0.00,3968.00,708.57,0.04,7.57,1.00,0.56,5.60,0.00,5.60,0.00,3968.00,3,1003,3.02,2.89,2.31,0,23541796,9387612,28.51,109676,4861212,8625520,26.19,4750984,4300760,47152,lo,144.20,144.20,1284.27,1284.27,0.00,0.00,0.00,0.00,0.00,1984.00,45526.20,0.00,47771.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.60,7692.20
19:19:52,26.36,0.00,1.43,0.08,0.00,72.13,5.40,0.00,3092.80,572.74,0.03,5.93,0.89,0.48,5.40,0.00,5.40,0.00,3092.80,9,986,2.86,2.86,2.31,0,23596856,9332552,28.34,109680,4862528,8573240,26.04,4695188,4301040,41196,lo,147.40,147.40,1323.32,1323.32,0.00,0.00,0.00,0.00,0.00,1546.40,29399.60,0.00,32291.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.60,5723.40
19:19:57,46.81,0.00,2.23,0.00,0.00,50.96,12.00,1.60,803.20,67.07,0.01,0.80,0.47,0.56,12.00,0.20,11.80,1.60,803.20,5,989,2.95,2.88,2.31,0,23518840,9410568,28.58,109688,4864272,8647012,26.26,4769476,4303972,41488,lo,148.80,148.80,575.07,575.07,0.00,0.00,0.00,0.00,0.80,401.60,35287.80,0.00,31263.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,48.40,8167.80
19:20:02,40.90,0.00,1.91,0.03,0.00,57.17,14.80,0.00,1124.80,76.00,0.01,0.54,0.16,0.24,14.80,0.00,14.80,0.00,1124.80,4,961,3.27,2.94,2.34,0,23693424,9235984,28.05,109700,4865636,8317168,25.26,4592756,4306160,40716,lo,140.80,140.80,564.65,564.65,0.00,0.00,0.00,0.00,0.00,562.40,31409.40,0.00,39955.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.80,7613.60
19:20:07,8.39,0.00,0.65,0.55,0.00,90.41,29.00,0.00,14460.80,498.65,2.31,79.67,1.82,5.28,29.00,0.00,29.00,0.00,14460.80,1,841,3.01,2.89,2.33,0,24208228,8721180,26.48,109708,4848620,7219712,21.92,4094932,4290556,5832,lo,101.80,101.80,343.36,343.36,0.00,0.00,0.00,0.00,0.00,7230.40,5176.20,0.00,31095.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.20,2691.80
19:20:12,5.49,0.00,0.58,0.03,0.00,93.91,15.00,0.00,339.20,22.61,0.00,0.16,0.05,0.08,15.00,0.00,15.00,0.00,339.20,3,819,2.77,2.85,2.31,0,24690828,8238580,25.02,109720,4827560,6905288,20.97,3633300,4273044,5516,lo,31.40,31.40,173.48,173.48,0.00,0.00,0.00,0.00,0.00,169.60,13242.00,0.00,36520.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.40,2585.20
