timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
19:39:47,16.28,0.00,2.40,0.03,0.00,81.30,22.80,0.00,3937.60,172.70,0.06,2.77,0.25,0.56,18.80,0.00,18.80,0.00,276.80,5,829,2.26,2.96,2.67,0,22223376,10706032,32.51,136000,6873776,6948948,21.10,4136092,6175204,55976,lo,21.40,21.40,7.77,7.77,0.00,0.00,0.00,0.00,0.00,1967.20,33872.80,0.00,77362.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.00,4654.20
19:39:52,26.75,0.00,1.43,0.13,0.00,71.69,8.80,0.00,249.60,28.36,0.00,0.27,0.27,0.24,12.80,0.00,12.80,0.00,3910.40,2,927,2.16,2.93,2.66,0,21770544,11158864,33.89,136004,6822644,7757796,23.56,4637176,6127396,13928,lo,113.20,113.20,218.37,218.37,0.00,0.00,0.00,0.00,0.00,126.40,27596.00,0.00,4921.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.40,4815.00
19:39:57,24.78,0.00,1.63,0.00,0.00,73.59,3.20,0.00,294.40,92.00,0.00,0.75,0.75,0.24,3.40,0.00,3.40,0.00,296.00,8,979,2.39,2.97,2.67,0,21643128,11286280,34.27,136008,6823476,8316780,25.26,4762396,6127564,14584,lo,83.00,83.00,108.85,108.85,0.00,0.00,0.00,0.00,0.00,147.20,33621.40,0.00,26635.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.40,6429.80
19:40:02,45.32,0.00,2.57,0.08,0.00,52.04,46.80,0.00,6264.00,133.85,0.44,9.44,0.22,1.04,46.80,0.00,46.80,0.00,6264.00,7,983,2.44,2.97,2.67,3,21553300,11376108,34.55,136020,6824792,8342944,25.34,4851068,6127696,920,lo,129.00,129.00,205.04,205.04,0.00,0.00,0.00,0.00,0.00,3132.00,56445.20,0.00,51666.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.00,8993.00
19:40:07,34.78,0.00,2.15,0.00,0.00,63.07,3.80,0.00,246.40,64.84,0.01,1.47,0.84,0.32,3.60,0.00,3.60,0.00,244.80,5,974,2.56,2.98,2.68,3,21634900,11294508,34.30,136032,6826012,8338328,25.32,4767696,6128436,2428,lo,138.00,138.00,294.79,294.79,0.00,0.00,0.00,0.00,0.00,123.20,43358.60,0.00,47033.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.80,8461.60
19:40:12,42.18,0.00,2.13,0.03,0.00,55.66,8.60,0.00,382.40,44.47,0.01,0.65,0.28,0.24,8.60,0.00,8.60,0.00,371.20,1,981,2.76,3.02,2.69,2,21432068,11497340,34.92,136032,6828756,8420972,25.57,4967492,6131876,4772,lo,173.80,173.80,725.73,725.73,0.00,0.00,0.00,0.00,0.00,191.20,26572.20,0.00,24376.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.40,7496.00
19:40:17,30.08,0.00,1.43,0.00,0.00,68.49,5.20,0.00,264.00,50.77,0.00,0.46,0.46,0.24,5.40,0.00,5.40,0.00,276.80,6,970,2.54,2.97,2.68,2,21603124,11326284,34.40,136036,6830084,8093888,24.58,4795540,6133544,5896,lo,106.80,106.80,368.89,368.89,0.00,0.00,0.00,0.00,0.00,132.00,23949.40,0.00,24525.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.20,6466.00
19:40:22,5.03,0.00,0.40,0.05,0.00,94.52,37.40,0.00,2859.20,76.45,0.02,0.56,0.15,0.56,37.00,0.00,37.00,0.00,2856.00,6,875,2.33,2.92,2.66,1,21731944,11197464,34.00,136044,6830712,7788176,23.65,4665304,6134412,544,lo,138.80,138.80,371.14,371.14,0.00,0.00,0.00,0.00,0.00,1429.60,1507.20,0.00,8345.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.60,2422.80
19:40:27,10.38,0.00,0.83,0.03,0.00,88.78,1.80,0.00,145.60,80.89,0.00,1.33,1.33,0.24,1.80,0.00,1.80,0.00,14.40,3,879,2.23,2.89,2.65,3,21953128,10976280,33.33,136044,6828428,7480164,22.72,4450856,6132568,1644,lo,68.20,68.20,137.26,137.26,0.00,0.00,0.00,0.00,0.00,72.80,13515.40,0.00,24273.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.60,3751.60
19:40:32,30.67,0.00,1.53,0.05,0.00,67.75,20.80,0.00,883.20,42.46,0.01,0.31,0.08,0.16,21.20,0.00,21.20,0.00,1017.60,7,995,2.53,2.94,2.67,2,21260616,11668792,35.44,136056,6829452,8379608,25.45,5138256,6133036,1016,lo,73.40,73.40,281.09,281.09,0.00,0.00,0.00,0.00,0.00,441.60,36170.00,0.00,1370.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.60,5264.80
19:40:37,36.35,0.00,2.26,0.00,0.00,61.39,2.40,0.00,174.40,72.67,0.00,0.67,0.67,0.16,2.40,0.00,2.40,0.00,174.40,4,999,2.41,2.91,2.66,3,21390084,11539324,35.04,136064,6832132,8643340,26.25,5007684,6132988,4048,lo,134.00,134.00,397.15,397.15,0.00,0.00,0.00,0.00,0.00,87.20,46944.80,0.00,52947.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.00,8094.40
19:40:42,37.44,0.00,2.19,0.03,0.00,60.35,24.40,0.00,2424.00,99.34,0.01,0.30,0.10,0.24,24.40,0.00,24.40,0.00,2424.00,2,963,2.53,2.92,2.67,4,21602352,11327056,34.40,136064,6834352,7992952,24.27,4795792,6133508,1028,lo,144.00,144.00,526.45,526.45,0.00,0.00,0.00,0.00,0.00,1212.00,43694.00,0.00,53775.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,48.00,7486.60
19:40:47,42.84,0.00,1.73,0.03,0.00,55.40,4.80,1.60,308.80,64.67,0.00,0.83,0.83,0.40,4.80,0.20,4.60,1.60,308.80,10,998,2.65,2.94,2.68,2,21464916,11464492,34.82,136072,6835588,8324864,25.28,4931048,6136240,2904,lo,127.00,127.00,546.48,546.48,0.00,0.00,0.00,0.00,0.80,154.40,31177.80,0.00,24366.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.40,8245.40
19:40:52,36.52,0.00,1.98,0.03,0.00,61.47,9.80,1.60,321.60,32.98,0.00,0.49,0.49,0.48,8.80,0.20,8.60,1.60,312.00,0,960,2.60,2.93,2.67,4,21597516,11331892,34.41,136080,6834760,8002784,24.30,4796028,6137752,1460,lo,178.60,178.60,434.19,434.19,0.00,0.00,0.00,0.00,0.80,157.60,25183.00,0.00,31705.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,48.00,7837.00
19:40:57,1.53,0.00,0.20,0.05,0.00,98.22,28.80,0.00,728.00,25.28,0.00,0.06,0.06,0.16,29.80,0.00,29.80,0.00,737.60,1,872,2.39,2.88,2.66,2,21744920,11184488,33.97,136088,6829596,7683624,23.33,4652584,6133256,540,lo,88.20,88.20,191.34,191.34,0.00,0.00,0.00,0.00,0.00,367.20,862.80,0.00,8510.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.60,1568.80
19:41:02,14.28,0.00,1.03,0.03,0.00,84.67,13.80,0.00,452.80,32.81,0.00,0.00,0.00,0.00,13.80,0.00,13.80,0.00,452.80,8,879,2.36,2.86,2.65,3,21786340,11143068,33.84,136096,6824408,7602444,23.09,4621804,6128512,912,lo,67.20,67.20,134.90,134.90,0.00,0.00,0.00,0.00,0.00,226.40,23065.40,0.00,24665.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.80,3625.20
19:41:07,27.36,0.00,1.40,0.00,0.00,71.24,22.00,0.00,720.00,32.73,0.00,0.00,0.00,0.00,22.00,0.00,22.00,0.00,720.00,1,930,2.49,2.88,2.66,3,21753588,11175820,33.94,136100,6825236,7768392,23.59,4648800,6128700,812,lo,83.80,83.80,132.60,132.60,0.00,0.00,0.00,0.00,0.00,360.00,27857.80,0.00,26469.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.20,5054.60
19:41:12,33.47,0.00,2.46,0.00,0.00,64.07,18.40,0.00,627.20,34.09,0.01,0.57,0.04,0.08,18.40,0.00,18.40,0.00,627.20,9,975,2.69,2.92,2.67,3,21614872,11314536,34.36,136104,6826292,8282424,25.15,4788440,6128836,1192,lo,103.80,103.80,156.18,156.18,0.00,0.00,0.00,0.00,0.00,313.60,47582.00,0.00,39707.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.40,8218.60
19:41:17,37.79,0.00,2.38,0.00,0.00,59.82,14.40,0.00,851.20,59.11,0.00,0.17,0.11,0.16,14.40,0.00,14.40,0.00,851.20,2,951,2.80,2.94,2.68,3,21677088,11252320,34.17,136112,6827172,8065888,24.49,4725240,6128860,656,lo,117.60,117.60,153.35,153.35,0.00,0.00,0.00,0.00,0.00,425.60,48339.40,0.00,51303.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,7089.20
19:41:22,34.56,0.00,2.24,0.03,0.00,63.18,2.60,0.00,171.20,65.85,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,171.20,5,991,2.65,2.90,2.67,3,21531764,11397644,34.61,136124,6827580,8364332,25.40,4868532,6129208,1236,lo,107.40,107.40,79.90,79.90,0.00,0.00,0.00,0.00,0.00,85.60,46567.80,0.00,38763.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.40,8119.00
19:41:27,22.24,0.00,1.28,0.00,0.00,76.49,1.80,0.00,126.40,70.22,0.00,0.89,0.89,0.16,1.80,0.00,1.80,0.00,126.40,2,999,2.44,2.85,2.66,2,21400924,11528484,35.01,136128,6827820,8445160,25.65,5000616,6129348,1560,lo,85.60,85.60,24.98,24.98,0.00,0.00,0.00,0.00,0.00,63.20,33729.40,0.00,25651.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.40,5775.20
19:41:32,35.26,0.00,2.10,0.03,0.00,62.61,5.80,0.00,238.40,41.10,0.00,0.83,0.55,0.32,5.80,0.00,5.80,0.00,238.40,1,925,2.81,2.92,2.68,3,21740720,11188688,33.98,136132,6830176,7767556,23.59,4659036,6131620,3824,lo,168.40,168.40,541.70,541.70,0.00,0.00,0.00,0.00,0.00,119.20,30848.80,0.00,49227.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.20,7616.60
19:41:37,37.57,0.00,2.11,0.03,0.00,60.29,4.20,0.00,198.40,47.24,0.00,1.14,1.14,0.48,3.80,0.00,3.80,0.00,83.20,8,986,2.58,2.87,2.67,0,21463604,11465804,34.82,136140,6831304,8330684,25.30,4935700,6133316,4968,lo,117.60,117.60,393.02,393.02,0.00,0.00,0.00,0.00,0.00,99.20,31316.00,0.00,16734.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.60,8049.20
19:41:42,19.34,0.00,1.23,0.03,0.00,79.40,11.40,0.00,283.20,24.84,0.01,0.84,0.84,0.96,11.80,0.00,11.80,0.00,398.40,0,870,2.69,2.89,2.67,3,21726040,11203368,34.02,136156,6833632,7753052,23.54,4669528,6136168,7200,lo,180.40,180.40,710.56,710.56,0.00,0.00,0.00,0.00,0.00,141.60,10983.60,0.00,24659.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,4763.60
19:41:47,1.23,0.00,0.28,0.05,0.00,98.45,31.40,0.00,3168.00,100.89,0.06,1.89,0.31,0.96,31.20,0.00,31.20,0.00,3166.40,0,829,2.48,2.85,2.66,3,22182232,10747176,32.64,136164,6833340,6851392,20.81,4215452,6136028,124,lo,54.20,54.20,80.78,80.78,0.00,0.00,0.00,0.00,0.00,1584.00,645.60,0.00,23578.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.80,1131.40
19:41:52,20.53,0.00,0.97,0.02,0.00,78.47,2.80,0.00,176.00,62.86,0.00,1.14,1.14,0.32,3.00,0.00,3.00,0.00,177.60,1,925,2.60,2.87,2.67,3,21748204,11181204,33.96,136176,6831004,7726744,23.46,4653140,6134308,1552,lo,77.00,77.00,187.33,187.33,0.00,0.00,0.00,0.00,0.00,88.00,23307.00,0.00,1346.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,4104.80
19:41:57,33.90,0.00,1.94,0.03,0.00,64.13,2.00,0.00,136.00,68.00,0.00,0.40,0.40,0.08,2.00,0.00,2.00,0.00,136.00,6,988,2.39,2.82,2.65,4,21492344,11437064,34.73,136188,6832716,8382624,25.46,4905984,6134456,3424,lo,92.60,92.60,285.27,285.27,0.00,0.00,0.00,0.00,0.00,68.00,40702.80,0.00,27387.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.40,7294.00
19:42:02,42.26,0.00,2.48,0.00,0.00,55.27,3.20,0.00,379.20,118.50,0.00,0.50,0.50,0.16,2.80,0.00,2.80,0.00,280.00,7,996,2.68,2.87,2.67,0,21476604,11452804,34.78,136196,6835848,8396328,25.50,4921380,6134700,6504,lo,155.40,155.40,664.71,664.71,0.00,0.00,0.00,0.00,0.00,189.60,53365.00,0.00,52264.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.60,8660.00
19:42:07,27.86,0.00,1.75,0.00,0.00,70.39,5.60,0.00,544.00,97.14,0.01,1.71,1.29,0.72,6.00,0.00,6.00,0.00,643.20,5,972,2.71,2.87,2.67,1,21682748,11246660,34.15,136200,6837304,8280288,25.15,4712912,6135984,6676,lo,139.20,139.20,471.82,471.82,0.00,0.00,0.00,0.00,0.00,272.00,31762.80,0.00,41678.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.40,7399.40
19:42:12,43.04,0.00,2.08,0.03,0.00,54.85,10.80,0.00,1275.20,118.07,0.01,1.33,0.44,0.48,10.80,0.00,10.80,0.00,1275.20,5,988,2.97,2.93,2.69,1,21437276,11492132,34.90,136204,6837976,8365580,25.40,4956024,6138632,4900,lo,161.80,161.80,597.18,597.18,0.00,0.00,0.00,0.00,0.00,637.60,28591.20,0.00,16462.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.40,8257.20
19:42:17,23.33,0.00,1.38,0.03,0.00,75.27,15.00,0.00,832.00,55.47,0.00,0.27,0.27,0.40,15.00,0.00,15.00,0.00,832.00,1,871,2.73,2.88,2.68,3,21728928,11200480,34.01,136216,6837900,7737968,23.50,4662924,6140408,3136,lo,150.40,150.40,410.93,410.93,0.00,0.00,0.00,0.00,0.00,416.00,17078.40,0.00,31647.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.20,5254.40
19:42:22,1.17,0.00,0.32,0.05,0.00,98.45,24.20,0.00,905.60,37.42,0.00,0.13,0.10,0.24,24.15,0.00,24.15,0.00,903.79,1,830,2.51,2.83,2.66,3,22186716,10742692,32.62,136224,6832120,6838604,20.77,4212844,6135076,1320,lo,56.80,56.80,83.15,83.15,0.00,0.00,0.00,0.00,0.00,452.80,1345.40,0.00,24327.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.40,1583.00
19:42:27,20.04,0.00,1.08,0.03,0.00,78.86,3.20,0.00,166.40,52.00,0.00,0.50,0.50,0.16,3.20,0.00,3.20,0.00,166.40,3,926,2.55,2.83,2.66,3,21755328,11174080,33.93,136236,6826484,7658316,23.26,4650576,6129804,2244,lo,74.40,74.40,159.81,159.81,0.00,0.00,0.00,0.00,0.00,83.20,23309.60,0.00,1513.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,4095.40
19:42:32,32.10,0.00,2.01,0.00,0.00,65.90,26.20,0.00,1144.00,43.66,0.01,0.52,0.03,0.08,26.20,0.00,26.20,0.00,1144.00,13,985,2.35,2.78,2.65,2,21520116,11409292,34.65,136240,6827312,8350756,25.36,4883448,6129976,932,lo,87.80,87.80,110.12,110.12,0.00,0.00,0.00,0.00,0.00,572.00,39733.60,0.00,27203.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.40,7479.20
19:42:37,35.06,0.00,2.33,0.00,0.00,62.60,2.00,0.00,153.60,76.80,0.00,2.40,2.40,0.48,1.80,0.00,1.80,0.00,140.80,10,1004,2.32,2.77,2.64,3,21356080,11573328,35.15,136252,6828340,8671796,26.33,5044908,6130112,2264,lo,121.40,121.40,204.74,204.74,0.00,0.00,0.00,0.00,0.00,76.80,47786.60,0.00,51878.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.40,7474.40
19:42:42,42.68,0.00,2.74,0.00,0.00,54.58,21.20,0.00,1329.60,62.72,0.02,0.98,0.11,0.24,21.20,0.00,21.20,0.00,1340.80,7,982,2.53,2.81,2.66,3,21507168,11422240,34.69,136252,6829276,8366072,25.41,4894768,6130040,488,lo,120.00,120.00,112.20,112.20,0.00,0.00,0.00,0.00,0.00,664.80,57619.80,0.00,52144.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,8926.20
19:42:47,23.88,0.00,1.41,0.00,0.00,74.72,2.40,0.00,139.20,58.00,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,140.80,2,990,2.73,2.84,2.67,3,21586348,11343060,34.45,136268,6829460,8294024,25.19,4816024,6130344,988,lo,105.40,105.40,79.22,79.22,0.00,0.00,0.00,0.00,0.00,69.60,34684.20,0.00,38307.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.80,6237.00
19:42:52,23.90,0.00,1.30,0.03,0.00,74.77,17.80,0.00,526.40,29.57,0.00,0.13,0.13,0.24,17.80,0.00,17.80,0.00,526.40,6,995,2.75,2.85,2.67,3,21476004,11453404,34.78,136284,6829664,8347116,25.35,4925904,6130380,312,lo,78.60,78.60,20.75,20.75,0.00,0.00,0.00,0.00,0.00,263.20,31326.60,0.00,25573.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.80,5820.60
19:42:57,34.36,0.00,2.01,0.00,0.00,63.63,19.00,1.60,697.60,36.80,0.00,0.17,0.17,0.32,18.60,0.20,18.40,1.60,561.60,9,979,2.61,2.82,2.66,2,21608716,11320692,34.38,136292,6831704,8306548,25.23,4791236,6132636,1704,lo,157.20,157.20,539.78,539.78,0.00,0.00,0.00,0.00,0.80,348.80,31041.40,0.00,37406.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.60,7898.60
19:43:02,43.68,0.00,2.08,0.03,0.00,54.21,4.80,0.00,195.20,40.67,0.00,0.67,0.67,0.32,5.20,0.00,5.20,0.00,331.20,7,987,2.48,2.79,2.65,3,21481076,11448332,34.77,136300,6834552,8327984,25.29,4913220,6136396,4904,lo,178.00,178.00,774.84,774.84,0.00,0.00,0.00,0.00,0.00,97.60,30860.60,0.00,24592.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.20,8351.60
19:43:07,7.58,0.00,0.48,0.08,0.00,91.87,29.60,0.00,2542.40,85.89,0.05,1.62,0.30,0.88,29.60,0.00,29.60,0.00,2542.40,1,871,2.28,2.74,2.64,3,21727112,11202296,34.02,136312,6835300,7691852,23.36,4667940,6137204,532,lo,147.60,147.60,405.27,405.27,0.00,0.00,0.00,0.00,0.00,1271.20,3198.80,0.00,15855.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.60,2828.00
19:43:12,8.30,0.00,0.65,0.00,0.00,91.05,1.80,0.00,152.00,84.44,0.00,0.89,0.89,0.16,1.80,0.00,1.80,0.00,152.00,6,865,2.34,2.74,2.64,1,21970620,10958788,33.28,136316,6832796,7470504,22.69,4430516,6135384,1776,lo,61.20,61.20,162.83,162.83,0.00,0.00,0.00,0.00,0.00,76.00,12020.00,0.00,23969.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.80,3242.40
19:43:17,28.40,0.00,1.25,0.03,0.00,70.33,22.80,0.00,939.20,41.19,0.01,0.35,0.14,0.32,22.80,0.00,22.80,0.00,939.20,6,984,2.39,2.75,2.64,2,21482248,11447160,34.76,136320,6833144,8288904,25.17,4915528,6135608,336,lo,50.00,50.00,31.35,31.35,0.00,0.00,0.00,0.00,0.00,469.60,26256.60,0.00,1581.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.20,5583.40
19:43:22,36.62,0.00,2.64,0.00,0.00,60.74,2.40,0.00,172.80,72.00,0.00,1.67,1.67,0.40,2.40,0.00,2.40,0.00,172.80,10,989,2.44,2.75,2.64,3,21408964,11520444,34.99,136332,6836248,8373308,25.43,4987404,6135784,3792,lo,149.20,149.20,692.80,692.80,0.00,0.00,0.00,0.00,0.00,86.40,56022.80,0.00,52029.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.40,7926.60
19:43:27,36.63,0.00,2.04,0.00,0.00,61.33,3.00,0.00,396.80,132.27,0.00,0.27,0.27,0.08,3.00,0.00,3.00,0.00,396.80,5,1002,2.41,2.74,2.64,0,21359956,11569452,35.13,136344,6838900,8378612,25.44,5035032,6136536,5904,lo,123.60,123.60,542.90,542.90,0.00,0.00,0.00,0.00,0.00,198.40,42707.40,0.00,40092.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.20,7067.00
19:43:32,37.27,0.00,2.03,0.03,0.00,60.67,10.20,0.00,1078.40,105.73,0.00,0.47,0.31,0.32,10.20,0.00,10.20,0.00,1078.40,2,926,2.94,2.84,2.67,2,21737432,11191976,33.99,136344,6839428,7708232,23.41,4656012,6138648,4256,lo,163.00,163.00,481.91,481.91,0.00,0.00,0.00,0.00,0.00,539.20,25199.80,0.00,44123.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.60,8133.80
19:43:37,38.48,0.00,2.26,0.00,0.00,59.26,6.40,0.00,710.40,111.00,0.00,0.62,0.62,0.40,6.40,0.00,6.40,0.00,710.40,6,1006,2.86,2.83,2.67,3,21455536,11473872,34.84,136352,6839584,8309284,25.23,4936324,6140060,3104,lo,109.20,109.20,301.88,301.88,0.00,0.00,0.00,0.00,0.00,355.20,31604.20,0.00,16785.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.00,8484.20
19:43:42,15.84,0.00,1.35,0.08,0.00,82.73,14.40,0.00,825.60,57.33,0.01,0.67,0.61,0.88,14.40,0.00,14.40,0.00,825.60,2,866,2.71,2.80,2.66,3,21857144,11072264,33.62,136360,6832776,7784332,23.64,4541952,6135124,1880,lo,136.20,136.20,413.73,413.73,0.00,0.00,0.00,0.00,0.00,412.80,22660.40,0.00,41758.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.40,4288.00
